"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-6859-1_hsa-miR-6859-5p",4.77808475763165,-0.226733382322586,0.330871969502919,-0.685260170763985,0.493179760370722,0.79823940596086,"hsa-miR-6859-5p"
"hsa-mir-6859-1_hsa-miR-6859-3p",1.72297915009055,0.279659773846785,0.426100083971359,0.656324146290436,0.511615584559583,NA,"hsa-miR-6859-3p"
"hsa-mir-6723_hsa-miR-6723-5p",6.6665183608766,-0.257594474074669,0.585984728441333,-0.439592469858126,0.660232295537821,0.876717780454731,"hsa-miR-6723-5p"
"hsa-mir-200b_hsa-miR-200b-5p",7.18453920995998,-0.085007160273646,0.348857987047461,-0.243672678940503,0.807484334688164,0.924521717746886,"hsa-miR-200b-5p"
"hsa-mir-200b_hsa-miR-200b-3p",133.12084455465,0.00273677584310507,0.258088680663766,0.0106040134579575,0.99153937993886,0.995452481247366,"hsa-miR-200b-3p"
"hsa-mir-200a_hsa-miR-200a-5p",2.99807105143013,-0.234787738213997,0.398400800266695,-0.589325468364587,0.555642963286474,0.840483575362356,"hsa-miR-200a-5p"
"hsa-mir-200a_hsa-miR-200a-3p",113.752687612562,0.111024546630499,0.26134018626302,0.424827686159068,0.670962293327502,0.876717780454731,"hsa-miR-200a-3p"
"hsa-mir-429_hsa-miR-429",31.0561535461595,-0.263023967392517,0.271095264194479,-0.970227082992599,0.331933313871077,0.712663661918072,"hsa-miR-429"
"hsa-mir-6726_hsa-miR-6726-3p",3.21214844352943,0.271543692261618,0.379834941919973,0.714899189866605,0.474671337650521,0.787996308219674,"hsa-miR-6726-3p"
"hsa-mir-6727_hsa-miR-6727-3p",6.03722218433259,0.292117059176519,0.329379981212445,0.886869499783315,0.375149164295775,0.726413418890286,"hsa-miR-6727-3p"
"hsa-mir-551a_hsa-miR-551a",197.477145260081,0.796788115042283,0.293745990873732,2.71250719940817,0.00667763308151906,0.188385564190028,"hsa-miR-551a"
"hsa-mir-4417_hsa-miR-4417",2.52891997825498,0.36413762921574,0.439847622486067,0.827872223470469,0.407742867041353,0.74858284975544,"hsa-miR-4417"
"hsa-mir-34a_hsa-miR-34a-5p",4193.7356003271,-0.552062904247528,0.220568759437318,-2.50290614888468,0.0123178202946266,0.23446938908941,"hsa-miR-34a-5p"
"hsa-mir-34a_hsa-miR-34a-3p",16.9153185743615,-0.818542065806605,0.252709544734426,-3.23906272185649,0.00119923198200477,0.0990527929964531,"hsa-miR-34a-3p"
"hsa-mir-1273d_hsa-miR-1273d",8.21387233140765,0.579965339831818,0.336254553741988,1.72478062639661,0.0845670144441275,0.435312172712394,"hsa-miR-1273d"
"hsa-mir-6729_hsa-miR-6729-5p",3.71463076471541,-0.22966029307889,0.396339724625516,-0.579453127732493,0.562283464993092,0.842313614543736,"hsa-miR-6729-5p"
"hsa-mir-6729_hsa-miR-6729-3p",2.13331261550933,0.389254182936738,0.396512751686083,0.981693984068661,0.326250630056129,0.707721574007769,"hsa-miR-6729-3p"
"hsa-mir-6730_hsa-miR-6730-3p",2.65425129860415,-0.131565014312895,0.395952162745127,-0.332275023833076,0.739681597633288,0.898339272648412,"hsa-miR-6730-3p"
"hsa-mir-4695_hsa-miR-4695-3p",2.98677551099018,-0.00643273045758714,0.412165455742771,-0.015607155737966,0.987547796925491,0.995452481247366,"hsa-miR-4695-3p"
"hsa-mir-1290_hsa-miR-1290",70.2873566615454,-0.257283247170144,0.250133382709937,-1.02858420728471,0.30367510225502,0.694746682026055,"hsa-miR-1290"
"hsa-mir-1256_hsa-miR-1256",6.20426187974324,0.86210581355464,0.359205685354906,2.40003387669895,0.0163935546053504,0.239304191607189,"hsa-miR-1256"
"hsa-mir-3115_hsa-miR-3115",3.96228678307673,0.576407329690664,0.40716515563316,1.41565976782646,0.156875143075356,0.559217716911039,"hsa-miR-3115"
"hsa-mir-378f_hsa-miR-378f",52.4046764865878,0.244024465586835,0.221445511022743,1.10196167201498,0.270478334901284,0.66564392212625,"hsa-miR-378f"
"hsa-mir-6731_hsa-miR-6731-3p",7.76043853757902,-0.420982785152525,0.374814761628936,-1.12317557431021,0.261362934170676,0.656543690636738,"hsa-miR-6731-3p"
"hsa-mir-1976_hsa-miR-1976",135.829582444109,-0.22976140841879,0.185277133335519,-1.24009587304395,0.21493993525686,0.615911966713898,"hsa-miR-1976"
"hsa-mir-5585_hsa-miR-5585-5p",4.56634493533503,-0.314417810641103,0.33624301304086,-0.935090986122278,0.349741411481606,0.719509508284675,"hsa-miR-5585-5p"
"hsa-mir-5585_hsa-miR-5585-3p",24.3216618829308,1.00870335520374,0.488126248426667,2.06648046167359,0.0387831354085652,0.325524421326201,"hsa-miR-5585-3p"
"hsa-mir-3605_hsa-miR-3605-5p",14.4375759827741,0.191162631592046,0.253552941612369,0.753935767325054,0.450887792212298,0.776811722512174,"hsa-miR-3605-5p"
"hsa-mir-3605_hsa-miR-3605-3p",10.0398439312588,-0.0319780817916675,0.277881090694731,-0.115078293782852,0.908383064639449,0.9656282402212,"hsa-miR-3605-3p"
