"",".","miRNA"
"hsa-mir-454_hsa-miR-454-3p",0.00184724511286191,"hsa-miR-454-3p"
"hsa-mir-885_hsa-miR-885-5p",0.000758370182842414,"hsa-miR-885-5p"
"hsa-mir-374b_hsa-miR-374b-5p",0.000419909838002901,"hsa-miR-374b-5p"
"hsa-mir-340_hsa-miR-340-5p",0.00449648296360131,"hsa-miR-340-5p"
"hsa-mir-4745_hsa-miR-4745-5p",0.000793742372446115,"hsa-miR-4745-5p"
"hsa-mir-376b_hsa-miR-376b-3p",0.00449325500335785,"hsa-miR-376b-3p"
"hsa-mir-32_hsa-miR-32-5p",0.00160382990889908,"hsa-miR-32-5p"
"hsa-mir-98_hsa-miR-98-5p",0.000478664604205751,"hsa-miR-98-5p"
"hsa-let-7f-1_hsa-let-7f-5p",0.000801745827328013,"hsa-let-7f-5p"
"hsa-mir-576_hsa-miR-576-5p",0.00220745282609704,"hsa-miR-576-5p"
"hsa-mir-590_hsa-miR-590-3p",0.00130355537944702,"hsa-miR-590-3p"
"hsa-mir-122_hsa-miR-122-5p",0.00232384076722873,"hsa-miR-122-5p"
"hsa-mir-134_hsa-miR-134-5p",0.00205049728359665,"hsa-miR-134-5p"
"hsa-mir-15b_hsa-miR-15b-5p",0.000494947728122768,"hsa-miR-15b-5p"
"hsa-mir-499a_hsa-miR-499a-5p",0.00458858099459263,"hsa-miR-499a-5p"
"hsa-let-7f-2_hsa-let-7f-5p",0.000697429340228449,"hsa-let-7f-5p"
"hsa-mir-624_hsa-miR-624-5p",0.000227637503204416,"hsa-miR-624-5p"
"hsa-mir-361_hsa-miR-361-5p",0.00352696603954247,"hsa-miR-361-5p"
"hsa-mir-6887_hsa-miR-6887-5p",0.000732021300344652,"hsa-miR-6887-5p"
"hsa-mir-381_hsa-miR-381-3p",0.00300462490354683,"hsa-miR-381-3p"
"hsa-mir-182_hsa-miR-182-5p",0.00236674000913001,"hsa-miR-182-5p"
"hsa-mir-374a_hsa-miR-374a-5p",0.000355385055331498,"hsa-miR-374a-5p"
"hsa-mir-183_hsa-miR-183-5p",0.00216340924885254,"hsa-miR-183-5p"
"hsa-mir-455_hsa-miR-455-3p",0.00212130925055571,"hsa-miR-455-3p"
"hsa-mir-195_hsa-miR-195-5p",0.000279193572308603,"hsa-miR-195-5p"
"hsa-mir-206_hsa-miR-206",0.00184622141196436,"hsa-miR-206"
"hsa-mir-409_hsa-miR-409-3p",0.0003790504791574,"hsa-miR-409-3p"
"hsa-mir-485_hsa-miR-485-3p",0.00108585703924881,"hsa-miR-485-3p"
"hsa-mir-3613_hsa-miR-3613-3p",0.000420467840121525,"hsa-miR-3613-3p"
"hsa-mir-376a-2_hsa-miR-376a-3p",0.00348977948276051,"hsa-miR-376a-3p"
"hsa-mir-1228_hsa-miR-1228-5p",0.00218396803175307,"hsa-miR-1228-5p"
"hsa-mir-376a-1_hsa-miR-376a-3p",0.00339262363390565,"hsa-miR-376a-3p"
"hsa-mir-483_hsa-miR-483-5p",0.00172908458747927,"hsa-miR-483-5p"
"hsa-mir-16-2_hsa-miR-16-5p",0.0021666916885771,"hsa-miR-16-5p"
"hsa-mir-16-1_hsa-miR-16-5p",0.00218906207750485,"hsa-miR-16-5p"
"hsa-mir-219b_hsa-miR-219b-3p",0.00403944497717877,"hsa-miR-219b-3p"
"hsa-mir-1277_hsa-miR-1277-3p",0.0031195524833939,"hsa-miR-1277-3p"
"hsa-mir-545_hsa-miR-545-5p",0.000170234094657586,"hsa-miR-545-5p"
"hsa-mir-582_hsa-miR-582-5p",0.00123117402882278,"hsa-miR-582-5p"
"hsa-mir-335_hsa-miR-335-5p",0.00133799834205427,"hsa-miR-335-5p"
"hsa-mir-375_hsa-miR-375",0.00186562363202671,"hsa-miR-375"
"hsa-mir-362_hsa-miR-362-5p",0.00118418424478565,"hsa-miR-362-5p"
"hsa-mir-4429_hsa-miR-4429",0.00246740840807782,"hsa-miR-4429"
"hsa-let-7a-3_hsa-let-7a-5p",0.000474813239535219,"hsa-let-7a-5p"
"hsa-mir-505_hsa-miR-505-5p",0.00219963759258149,"hsa-miR-505-5p"
"hsa-mir-204_hsa-miR-204-5p",0.00125871736895727,"hsa-miR-204-5p"
"hsa-mir-144_hsa-miR-144-3p",0.00429067735252291,"hsa-miR-144-3p"
"hsa-let-7a-1_hsa-let-7a-5p",0.00026120482740897,"hsa-let-7a-5p"
"hsa-mir-26b_hsa-miR-26b-3p",0.00021622353348749,"hsa-miR-26b-3p"
"hsa-mir-3667_hsa-miR-3667-5p",0.00123061387087539,"hsa-miR-3667-5p"
"hsa-mir-30b_hsa-miR-30b-5p",0.00165286240874336,"hsa-miR-30b-5p"
