Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR
Transcription factor	AFF4	11	0.08461538	1.02815675	0.51285439	1	0.7839
Transcription factor	AHR	10	0.08196721	0.99597897	0.55595583	1	0.8113
Transcription factor	AKT1	2	0.4	4.86037736	0.09367009	1	0.6198
Transcription factor	AML1-ETO	9	0.09278351	1.12740712	0.41604232	1	0.7412
Transcription factor	APOBEC3B	1	0.02	0.24301887	0.98316778	1	0.9893
Transcription factor	AR	98	0.08573928	1.04181317	0.30047224	1	0.7348
Transcription factor	ARID1A	1	0.09090909	1.10463122	0.61389573	1	0.8203
Transcription factor	ARID3A	5	0.08064516	0.97991479	0.58641465	1	0.8185
Transcription factor	ARNT	3	0.05555556	0.67505241	0.82201092	1	0.8942
Transcription factor	ARNTL	80	0.09937888	1.20754717	0.02119968	1	0.368
Transcription factor	ARRB1	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	ASCL1	6	0.12765957	1.55118426	0.21117792	1	0.6677
Transcription factor	ASCL2	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	ASXL1	48	0.09580838	1.16416224	0.14069325	1	0.6663
Transcription factor	ATF1	16	0.08602151	1.04524244	0.47167133	1	0.7697
Transcription factor	ATF2	34	0.09115282	1.1075927	0.29306823	1	0.7259
Transcription factor	ATF3	37	0.10481586	1.27361163	0.07610604	1	0.5929
Transcription factor	ATF4	5	0.06097561	0.74091118	0.80576542	1	0.8893
Transcription factor	ATRX	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	BACH1	11	0.09821429	1.19339623	0.33047185	1	0.7348
Transcription factor	BACH2	3	0.06382979	0.77559213	0.74632421	1	0.8584
Transcription factor	BANP	1	0.08333333	1.01257862	0.64342463	1	0.8309
Transcription factor	BATF	18	0.09230769	1.12162554	0.3511786	1	0.7348
Transcription factor	BCL11A	12	0.15584416	1.89365352	0.03384129	1	0.4418
Transcription factor	BCL3	10	0.08264463	1.0042102	0.54577314	1	0.8036
Transcription factor	BCL6	39	0.08478261	1.03018868	0.45155883	1	0.7599
Transcription factor	BCLAF1	16	0.11510791	1.39866974	0.12310315	1	0.6663
Transcription factor	BCOR	45	0.0931677	1.13207547	0.20314143	1	0.6677
Transcription factor	BDP1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	BHLHE40	50	0.09398496	1.14200596	0.16692129	1	0.6677
Transcription factor	BMI1	3	0.14285714	1.73584906	0.27361607	1	0.711
Transcription factor	BPTF	2	0.03448276	0.41899805	0.95066201	1	0.9708
Transcription factor	BRCA1	21	0.084	1.02067925	0.50013856	1	0.7837
Transcription factor	BRD1	12	0.09022556	1.09632572	0.42360507	1	0.7412
Transcription factor	BRD2	4	0.08510638	1.03412284	0.55142925	1	0.8071
Transcription factor	BRD3	39	0.1031746	1.25366876	0.08264176	1	0.6141
Transcription factor	BRD4	98	0.08757819	1.06415769	0.2037795	1	0.6677
Transcription factor	BRD7	3	0.42857143	5.20754717	0.03478401	1	0.4421
Transcription factor	BRF1	2	0.22222222	2.70020964	0.20150615	1	0.6677
Transcription factor	BRPF3	23	0.07210031	0.87608683	0.78042566	1	0.8787
Transcription factor	C17orf49	3	0.125	1.51886792	0.33808515	1	0.7348
Transcription factor	CBFB	39	0.09873418	1.1997134	0.13239047	1	0.6663
Transcription factor	CBX3	52	0.08965517	1.08939493	0.26613805	1	0.711
Transcription factor	CCNT2	24	0.09375	1.13915094	0.2901973	1	0.7251
Transcription factor	CDC73	1	0.09090909	1.10463122	0.61389573	1	0.8203
Transcription factor	CDK12	4	0.21052632	2.55809335	0.09167456	1	0.6198
Transcription factor	CDK4	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	CDK6	5	0.2	2.43018868	0.07221597	1	0.5834
Transcription factor	CDK7	19	0.0964467	1.1719184	0.27988044	1	0.7153
Transcription factor	CDK8	34	0.09066667	1.10168553	0.30420076	1	0.7348
Transcription factor	CDK9	56	0.1023766	1.24397227	0.04117314	1	0.4502
Transcription factor	CDKN2A	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	CDX2	3	0.08333333	1.01257862	0.57969914	1	0.8185
